Episódio;Marca;Título (thumb);Convidado;Status;Bloco;Canva (aberto);Página Canva;Drive (fechado);Arquivo Drive;PNG final (GitHub);YouTube;Título YouTube;Canva original;Observações
#303;Anima Podcast;Como falar de sexo com os filhos;Andyara Nóbrega;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;3;https://drive.google.com/file/d/1g8v0DTUY72LsqIda0_gxWPOZICZf5DzA/view;#303 - Andyara Nóbrega.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e303.png;https://youtu.be/89k4YR68vnY;Educação Afetiva e Sexual: Como orientar bem os filhos | Ep #303 | Com Andyara Nóbrega;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#302;Anima Podcast;Do luto à luz;Ricardo Benvenhu;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;2;https://drive.google.com/file/d/1cULCoUbc2KVQQO-Fz1nZI3B3_f_rUupV/view;#302 - Ricardo Benvenhu.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e302.png;https://youtu.be/xIDHkIW78tw;DO LUTO À LUZ: Como sobreviver à dor sem perder a fé | Ep #302 | Com Ricardo Benvenhu;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#301;Anima Podcast;O segredo do casamento feliz;Glória Severiano Ribeiro;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;1;https://drive.google.com/file/d/1WuQoYu0BQwQBL7L7M48YFe2qgGmKKcB2/view;#301 - Glória Severiano Ribeiro.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e301.png;https://youtu.be/7LnuB75ule8;Fé, Família e Providência Divina: A história inspiradora de Glória Severiano Ribeiro | Ep #301;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#300;Anima Podcast;O que o Papa disse sobre a IA;Rafael Medeiros;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;54;https://drive.google.com/file/d/1Al0Weu4xGzk0NdMgQeAG21TB4MYv3j34/view;#300 - Rafael Medeiros.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e300.png;https://youtu.be/Zi9ejxMGXlw;Magnifica Humanitas: Entenda a primeira Encíclica do Papa Leão XIV | Ep #300 | Com Rafael Medeiros;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#299;Anima Podcast;Deixei a homossexualidade e virei missionária;Kakau Silva;Casal novo aplicado;Bloco 8 - Arquivo 1;https://www.canva.com/design/DAHT5LIwDx4/edit;1;https://drive.google.com/file/d/1jFLZPBWxSkC2Sx2l9qfX-iQDW1g7wGRn/view;#299 - Kakau Silva.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e299.png;https://youtu.be/iLqQFWjPA-4;Ela deixou a homossexualidade e se tornou missionária católica | Ep #299 | Com Kakau Silva;https://www.canva.com/design/DAHRFAok0yc/edit;Drive tem a versão antiga (casal anterior)
#298;Anima Podcast;Menopausa e climatério;André Vinícius;Casal novo aplicado;Bloco 10 - Arquivo 1;https://www.canva.com/design/DAHT5G-VT0s/edit;1;https://drive.google.com/file/d/1jhY8Zeo1sYsrtQ82RFhwP34QCQ8z1AcA/view;#298 - André Vinícius.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e298.png;https://youtu.be/MjxIqTW24uA;MENOPAUSA, CLIMATÉRIO e REPOSIÇÃO HORMONAL: O que você precisa saber |Ep#298| Com Dr. André Vinícius;https://www.canva.com/design/DAHRF2DSDi0/edit;Drive tem a versão antiga (casal anterior)
#297;Anima Podcast;O bispo que conheceu Irmã Lúcia;Dom Virgílio Antunes;Casal novo aplicado;Bloco 8 - Arquivo 1;https://www.canva.com/design/DAHT5LIwDx4/edit;2;https://drive.google.com/file/d/1vo1YEKbqG93oxBeg7D2pUv7ypV-vY_aq/view;#297 - Dom Virgílio Antunes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e297.png;https://youtu.be/5uoL6_vo1Zs;Conheça o Bispo que esteve com Irmã Lúcia e Papa João Paulo II | Ep #297 | Com Dom Virgílio Antunes;https://www.canva.com/design/DAHRFAok0yc/edit;Drive tem a versão antiga (casal anterior)
#296;Anima Podcast;Isso fez trocarmos os palcos pela missão;Vivy e Nathan;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;23;https://drive.google.com/file/d/1BIkt2xWoezebKJLFpwZNlUXvxVvE7f6z/view;#296 - Vivy e Nathan.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e296.png;https://youtu.be/yu39DMxNrgs;Conheça a dupla que transforma pregações em músicas virais | Ep #296 | Com Vivy e Nathan;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#295;Anima Podcast;O sucesso não era suficiente;Alvaro e Daniel;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;16;https://drive.google.com/file/d/16RImwuOuMsYWztmA7Fmz8B7vbPcC2hnF/view;#295 - Alvaro e Daniel.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e295.png;https://youtu.be/CEqb_o9HDYU;Do Sertanejo Universitário para a Música Católica | Ep #295 | Com Alvaro e Daniel;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#294;Anima Podcast;A maior feira católica do mundo;Kiara Castro;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;63;https://drive.google.com/file/d/1pBqIHIc07hJCfYCGfK1v-6YryOKpOi0s/view;#294 - Kiara Castro.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e294.png;https://youtu.be/wQR2MOpRfyw;ExpoCatólica: Tudo sobre a MAIOR FEIRA CATÓLICA do mundo | Ep #294 | Com Kiara Castro;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#293;Anima Podcast;Um testemunho de fé emocionante;Maria Clara e Enrico Misasi;Casal novo aplicado;Bloco 11 - Arquivo 1;https://www.canva.com/design/DAHT5NXToGQ/edit;1;https://drive.google.com/file/d/1B5_Qf-NogZ7WpNUXhowz8nyy3sHo_HsE/view;#293 - Maria Clara e Enrico Misasi.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e293.png;https://youtu.be/rZMVPQWTs1Y;Conheça o testemunho de fé emocionante de Maria Clara e Enrico Misasi | Ep #293;https://www.canva.com/design/DAHRGTMEaX0/edit;Drive tem a versão antiga (casal anterior)
#292;Anima Podcast;Católico x protestante;Ariel Lazari;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;55;https://drive.google.com/file/d/1djAkbiGYsIawg-7dv6DjqNx-PRX672R_/view;#292 - Ariel Lazari.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e292.png;https://youtu.be/GTfnuvk6T6Y;Católico x Protestante: Quem está mais perto da Igreja Primitiva? | Ep #292 | Com Ariel Lazari;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#290;Anima Podcast;O poder do Rosário;Tiago Benetti e Alexandre Machafer;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;17;https://drive.google.com/file/d/1RdnlI6uxIQWxhQw8CeEYPoiz3xDJIyF_/view;#290 - Tiago Benetti e Alexandre Machafer.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e290.png;https://youtu.be/85quCMuLk20;Como o Rosário transformou um filme e muitas vidas |Ep #290 | Com Tiago Benetti e Alexandre Machafer;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#289;Anima Podcast;De sambista a salmista;Eugênio Jorge;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;56;https://drive.google.com/file/d/1dvsgIUQ6Ay75mzC0PBdl4OZ4E9NPtTzx/view;#289 - Eugenio Jorge.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e289.png;https://youtu.be/_NGO89J_NJA;A conversão de Eugênio Jorge | Ep#289 | Com Eugênio Jorge;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#288;Anima Podcast;Fui criado para ser pai de santo;Pe. Iágaro Domingos;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;57;https://drive.google.com/file/d/1YdcIqplzdtQIL1ZM5xFM_Y8vpRe-Dhrm/view;#288 - Pe. Iagaro Domingos.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e288.png;https://youtu.be/4Y0g6KV97v8;PADRE EXORCISTA: A última coisa que o demônio quer é um exorcismo | Ep#288 | Com Pe. Iágaro Domingos;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#287;Anima Podcast;Opus Dei: segredos revelados;Pe. Paulo Ramalho;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;53;https://drive.google.com/file/d/1_oBkkFx6NjD8AXAFrwQSHe8MyiPMP9Ec/view;#287 - Pe. Paulo Ramalho.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e287.png;https://youtu.be/e352PT89Sts;De Engenheiro Civil da USP a Padre do Opus Dei | Ep #287 | Com Pe. Paulo Ramalho;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#286;Anima Podcast;O sanfoneiro do forró católico;William Sanfona;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;58;https://drive.google.com/file/d/1B623hpE7HSos86IeSmOKo_XRAGtJc-2Z/view;#286 - William Sanfona.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e286.png;https://youtu.be/-2lJ3DEgtXY;"Conheça o sanfoneiro que viralizou com ""forró católico"" | Ep #286| Com William Sanfona";https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#284;Anima Podcast;Quem foi Frei Galvão?;Frei Leandro Costa;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;59;https://drive.google.com/file/d/1C1J6XgxtfIoyKvDiHRIQ95PQ0JIyecLn/view;#284 - Frei Leandro Costa.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e284.png;https://youtu.be/-NeFv9CSTGI;Frei Galvão: Tudo sobre o primeiro SANTO BRASILEIRO | Ep #284 | Com Frei Leandro Costa;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#283;Anima Podcast;Foi por isso que saí da Canção Nova;Paula Guimarães;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;52;https://drive.google.com/file/d/1H7vlw17JFIeQ_2mEPq0ZKAPT6II93bbo/view;#283 - Paula Guimaraes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e283.png;https://youtu.be/xABsGOShb7I;Conheça o testemunho de FÉ e RESILIÊNCIA de Paula Guimarães | Ep #283 | Com Paula Guimarães;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#282;Anima Podcast;O poder oculto da arte sacra;Rafael Zucato;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;60;https://drive.google.com/file/d/1OhP__8oer6uEWzJ2DWau0bz-5BDb_0Rc/view;#282 - Rafael Zucato.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e282.png;https://youtu.be/_EC426VlyQM;ICONOGRAFIA CATÓLICA: Transformando símbolos teológicos em arte sacra | Ep #282 | Com Rafael Zucato;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#281;Anima Podcast;As 5 atuações do demônio;Diácono Nilzo;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;61;https://drive.google.com/file/d/1z14X4YmQHc9udnqEFCWqCo0HKsJowfWq/view;#281 - Diacono Nilzo.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e281.png;https://youtu.be/d3ZyNr_Wrco;O que acontece em uma oração de LIBERTAÇÃO | Ep #281 | Com Diácono Nilzo;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#280;Anima Podcast;Nunca construa sua casa assim;Alex e Rafa Brasileiro;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;18;https://drive.google.com/file/d/1AzCRznEpcU3cQFm4tMnV-4vcSh_tLEvv/view;#280 - Alex e Rafa Brasileiro.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e280.png;https://youtu.be/rBblc551x5w;ARQUITETURA E VIDA FAMILIAR: Como transformar sua casa em lar | Ep #280 | Com Alex e Rafa Brasileiro;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#279;Anima Podcast;Os bastidores do filme de Guido Schaffer;Jayme Monjardim e Suzana Castelo;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;1;https://drive.google.com/file/d/1Xw0jBpDy-TD0fw8E5D-qj79ZWak5SgJJ/view;#279 - Jayme Monjardim e Suzana Castelo.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e279.png;https://youtu.be/vYHKu4Dei50;Os bastidores do FILME sobre GUIDO Schaffer | Ep #279 | Com Jayme Monjardim e Suzana Castelo;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#277;Anima Podcast;Como vencer a ansiedade;Maria Maia;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;62;https://drive.google.com/file/d/1YgraXypOwjhFeol9POLXMrWm6z6nNAQP/view;#277 - Maria Maia.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e277.png;https://youtu.be/ISO4QeUkRzY;A rotina que te ajuda a vencer ANSIEDADE, PROCRASTINAÇÃO e PERFECCIONISMO | Ep #277 | Com Maria Maia;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#275;Anima Podcast;A poderosa intercessão de São José;Diácono Leo Dominus;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;64;https://drive.google.com/file/d/1NDRUwhUoos_1mqaxNCN132GJx5uFE-Gs/view;#275 - Diacono Leo Dominus.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e275.png;https://youtu.be/ufKKgRg1BXw;Por que os homens PRECISAM se consagrar a São José? | Ep #275 | Com Diácono  Leo Dominus;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#274;Anima Podcast;A incrível transformação do Pe. Adriano;Pe. Adriano Zandoná;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;65;https://drive.google.com/file/d/1xkOltQVE0rnE7O1CtuvDB7sX5d7H20D0/view;#274 - Pe. Adriano Zandona.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e274.png;https://youtu.be/ybDT8ruB-YQ;Conheça a incrível história do Padre Adriano Zandoná | Ep #274 | Com Padre Adriano Zandoná;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#273;Anima Podcast;Católico pode usar cristais?;Rosa Maria e Pe. Alan;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;19;https://drive.google.com/file/d/1_n1KY_wcJe3Si2baJuUfvu5JRejxc696/view;#273 - Rosa Maria e Pe. Alan.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e273.png;https://youtu.be/V3ocn3mCuzI;A medicina de SANTA HILDEGARDA | Ep #273 | Com Rosa Maria Sartori Guerra e Pe. Alan Rodrigues;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#272;Anima Podcast;A proteína em formato de cruz;Tatiana Sampaio e Bruno Cortes;Casal novo aplicado;Bloco 8 - Arquivo 2;https://www.canva.com/design/DAHT5IC7CDA/edit;20;https://drive.google.com/file/d/1TmUxsyoVenb1bPB8u91JL2AOGhjyJEof/view;#272 - Tatiana Sampaio e Bruno Cortes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e272.png;https://youtu.be/E3YxdXzfEQU;POLILAMININA: O caminho para o FIM DA PARALISIA? | Ep #272 | Com Tatiana Sampaio e Dr. Bruno Cortes;https://www.canva.com/design/DAHRFXzISZs/edit;Drive tem a versão antiga (casal anterior)
#271;Anima Podcast;O maior erro das solteiras;Jota Borgonhoni;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;66;https://drive.google.com/file/d/1k02xQ1STvj2QSac-ntmZces3BN-gxSYf/view;#271 - Jota Borgonhoni.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e271.png;https://youtu.be/c3omJvDh4U8;O Segredo de quem tem SUCESSO NO AMOR | Ep #271 | Com Jota Borgonhoni;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#270;Anima Podcast;O que não te contaram sobre alta performance;Giovane Gávio;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;32;https://drive.google.com/file/d/14Z4FMZY-HuCcAHncwhyWWu18ZkkG4JQY/view;#270 - Giovane Gavio.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e270.png;https://youtu.be/aXIAodKQZ9c;O que não te contaram sobre ALTA PERFORMANCE | Ep #270 | Com Giovane Gávio;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#269;Anima Podcast;Conheça o padre gamer;Pe. Edson Ribeiro;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;67;https://drive.google.com/file/d/1jkW7HPNVxMEEM6iCLKCMtTErhqtw8MV0/view;#269 - Pe. Edson Ribeiro.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e269.png;https://youtu.be/Mr3Nc19rDxI;Conheça o PADRE que está CONVERTENDO JOVENS através do VIDEOGAME | Ep #269 | Com Pe. Edson Ribeiro;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#268;Anima Podcast;Anima e Santo Flow juntos pela 1ª vez;Guto Azevedo e Zulene Parente;Casal novo aplicado;Bloco 9 - Arquivo 1;https://www.canva.com/design/DAHT4wC4lb4/edit;2;https://drive.google.com/file/d/1AhuVbKTCQuSRTffg4rfl0e_LVqXKpBf0/view;#268 - Guto Azevedo e Zulene Parente.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e268.png;https://youtu.be/ExBjsGe5h0Q;Anima e Santo Flow juntos pela primeira vez! | Ep #268 | Com Guto Azevedo e Zulene Parente;https://www.canva.com/design/DAHRFk8zA-8/edit;Drive tem a versão antiga (casal anterior)
#267;Anima Podcast;Pare de perder tempo na cozinha;Jeisa Tartari;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;68;https://drive.google.com/file/d/1gw4YA-QnA-gqyXBmzxreIK_AVJFtEDy1/view;#267 - Jeisa Tartari.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e267.png;https://youtu.be/wI9Ah30HSjE;Conheça o método para se alimentar melhor sem perder tempo na cozinha | Ep #267 | Com Jeisa Tartari;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#266;Anima Podcast;O segredo para salvar seu casamento;João Nara;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;69;https://drive.google.com/file/d/1oOh4ZIcU8e8dQNjeuJPIDziGkzhhMp-b/view;#266 - Joao Nara.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e266.png;https://youtu.be/RhLgbGKbPIg;Teologia, História e Relacionamentos: Como ter um CASAMENTO FELIZ | Ep #266 | Com João Nara;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#265;Anima Podcast;Entrei infiltrado na esquerda;João Fernandes;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;70;https://drive.google.com/file/d/1YK1TETjccuYfzRkZEMrSC3BCDd0pjWHh/view;#265 - Joao Fernandes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e265.png;https://youtu.be/HpdTF58pKdQ;POLÍTICA X FÉ: O testemunho de um CANDIDATO CATÓLICO | Ep #265 | Com João Fernandes;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
#264;Anima Podcast;Casamento católico: não cometa esses erros;Simone Medeiros;Casal novo aplicado;Master (blocos 4/5 + acervo);https://www.canva.com/design/DAHT5VDGu2o/edit;71;https://drive.google.com/file/d/1rc6DRYvFZZC_cAZmVZuVjwRA8kmNqZTB/view;#264 - Simone Medeiros.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e264.png;https://youtu.be/ELgn6jdGA_I;CASAMENTO CATÓLICO: Tudo que você precisa saber sobre a cerimônia | Ep #264 | Com Simone Medeiros;https://www.canva.com/design/DAHQrnlzPa8/edit;Drive tem a versão antiga (casal anterior)
