ep,marca,convidado,gravidade,tipos,descricao,url
#205,Anima Podcast,Simone Fuzaro,alta,texto-desalinhado,"Erro de texto: falta espaço em 'MODA INOCENTEOU FUGA' (deveria ser 'INOCENTE OU') | Título em 3 linhas com 'COM SIMONE FUZARO' colado logo abaixo, pouco respiro",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e205.png
#204,Anima Podcast,Glaucio e Tay Cristelo,alta,"convidado-flutuando, convidado-qualidade, texto-sobreposto","Foto da dupla termina em corte reto por volta de 80% da altura, deixando faixa preta abaixo; não encosta na base | Título ('FAMÍLIA CRISTELO:' e 'MÚSICA, AMOR E FÉ') e 'COM GLAUCIO E TAY CRISTELO' sobrepõem o cabelo, o rosto e a jaqueta da convidada Tay | Foto da dupla com aparência de baixa resolução/pixelada, sem o padrão de estúdio das demais",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e204.png
#198,Anima Podcast,Monsenhor Sérgio,alta,"texto-desalinhado, texto-sobreposto","Erro de texto: falta espaço em 'TUDO SOBREA ELEIÇÃO DO' (deveria ser 'SOBRE A') | Linha 'TUDO SOBREA ELEIÇÃO DO' muito larga, quase encostando no rosto do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e198.png
#173,Anima Podcast,Mariangela Consoli,alta,"convidado-desproporcional, texto-sobreposto","Convidada muito grande: cabeça ocupa de y~190 a ~640, cerca de 50% maior que as cabeças do casal, e o corpo avança até x~1170 quase encostando no badge | 'COM MARIANGELA CONSOLI' termina a poucos pixels do cabelo da convidada",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e173.png
#140,Anima Podcast,Jessyca Oliveira,alta,"convidado-desproporcional, texto-sobreposto",Close extremo: rosto da convidada quase o dobro do tamanho dos rostos do casal | 'PERDI MEUS 4 MEMBROS' e 'COM JESSYCA OLIVEIRA' encostam no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e140.png
#135,Anima Podcast,Padre Balbino,alta,composicao,"Entrada aponta para o mesmo arquivo e135.png, que mostra Rafael Brito / 'Especial São Miguel Arcanjo' — não existe imagem de Padre Balbino / 'Segredos da Semana Santa' (arquivo duplicado no lote)",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e135.png
#56,Anima Podcast,Chris Tonietto,alta,"convidado-desproporcional, texto-sobreposto","'PREFIRO PERDER A ELEIÇÃO' sobrepõe claramente o cabelo da convidada | Convidada um pouco maior que o casal, com o vestido chegando perto do badge",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e56.png
#5,Anima Podcast,João Lucas,alta,"convidado-desproporcional, texto-sobreposto","Final da linha 'ALFABETIZAÇÃO PRECOCE' sobrepõe os óculos/têmpora do convidado | Convidado em close de busto, cabeça bem maior que a do casal",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e5.png
#71,Anima Podcast Saúde,Camila Komatsu,alta,"convidado-cortado, convidado-desproporcional","Topo do cabelo da convidada passa por cima da moldura azul e encosta na borda superior | Convidada muito maior que o casal (cabeça ~40% maior), close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e71.png
#70,Anima Podcast Saúde,Kyra Gracie,alta,"convidado-cortado, convidado-desproporcional","Cabelo da convidada cortado na borda superior, acima da moldura azul | Convidada muito maior que o casal, close de busto",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e70.png
#68,Anima Podcast Saúde,Fran Romanini,alta,"convidado-cortado, convidado-desproporcional","Cabelo da convidada cortado na borda superior da imagem, acima da moldura azul | Convidada muito maior que o casal, cabeça ~35% maior",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e68.png
#66,Anima Podcast Saúde,Érika Nery,alta,"convidado-cortado, convidado-desproporcional","Cabelo da convidada cortado na borda superior, acima da moldura azul | Convidada muito maior que o casal, close de busto ocupando toda a altura",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e66.png
#59,Anima Podcast Saúde,Fernanda Tofoli,alta,"convidado-cortado, convidado-qualidade","Cabelo da convidada encosta na borda superior da imagem, passando por cima da moldura azul | Recorte com serrilhado visível no braço esquerdo (lado do título)",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e59.png
#58,Anima Podcast Saúde,Rachel Rebouças,alta,"convidado-cortado, convidado-desproporcional","Topo do cabelo cortado na borda superior da imagem, acima da moldura azul | Cabeça da convidada bem maior que as do casal (foto ampliada demais)",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e58.png
#56,Anima Podcast Saúde,Dalila Faleiro,alta,"convidado-cortado, convidado-qualidade","Topo do cabelo quase na borda superior da imagem, por cima da moldura azul | Recorte serrilhado no cotovelo esquerdo (lado do título)",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e56.png
#54,Anima Podcast Saúde,Lourenço Alencar e Luísa Peleja,alta,"convidado-cortado, texto-desalinhado, texto-sobreposto",Fim do título (NICOTINA) e da linha COM ... LUÍSA invadem o ombro/braço da convidada | Nome dos convidados quebra em duas linhas com PELEJA sozinho na segunda | Cabelo do convidado (direita) encosta na borda superior da imagem,https://audiovisual-anima.github.io/thumbs-anima/review/saude/e54.png
#52,Anima Podcast Saúde,Clarisse Casali,alta,"convidado-cortado, convidado-desproporcional","Cabelo encosta na borda superior, por cima da moldura azul | Cabeça da convidada bem maior que as do casal | Lado esquerdo do blazer termina em corte reto vertical (borda da foto original)",https://audiovisual-anima.github.io/thumbs-anima/review/saude/e52.png
#317,Anima Podcast,Martha Rocha,media,"convidado-desproporcional, convidado-qualidade","Frame de vídeo com a cabeça da convidada maior que a do casal e cabelo quase encostando na moldura superior. | Borrão de movimento (mão/ombro) na altura do busto, lado direito.",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e317.png
#315,Anima Podcast,Juan Fernando Sellés,media,"convidado-desproporcional, convidado-flutuando, texto-sobreposto",Retângulo de vídeo com corte reto na altura do peito (~y 990) e faixa escura abaixo; convidado parece flutuar acima do rodapé. | Cabeça maior que a do casal; microfone cortado na borda direita. | 'COM JUAN FERNANDO SELLÉS' termina quase encostando no ombro do convidado.,https://audiovisual-anima.github.io/thumbs-anima/review/novos/e315.png
#297,Anima Podcast,Dom Virgílio Antunes,media,texto-sobreposto,'O BISPO QUE CONHECEU' encosta no cabelo/testa do convidado (fim da linha em ~x 1415).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e297.png
#296,Anima Podcast,Vivy e Nathan,media,"texto-desalinhado, texto-sobreposto",Título largo: 'ISSO' encosta na cabeça do apresentador à esquerda e 'MISSÃO' encosta no ombro de Nathan à direita. | Badge 'EPISÓDIO #296' deslocado para a esquerda (~x 780-1075) em relação ao padrão dos demais.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e296.png
#295,Anima Podcast,Alvaro e Daniel,media,convidado-desproporcional,Dupla pequena: cabeças com ~60% da altura das do casal e topo em ~y 370 (casal em ~250).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e295.png
#290,Anima Podcast,Tiago Benetti e Alexandre Machafer,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto",Alexandre (à direita) com parte do rosto/cabeça cortada pela borda direita. | 'COM TIAGO BENETTI E ALEXANDRE' termina encostando no ombro de Tiago; nome quebra em 2 linhas com 'MACHAFER' isolado. | Dupla menor que o casal (cabeças a partir de ~y 340).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e290.png
#280,Anima Podcast,Alex e Rafa Brasileiro,media,"convidado-cortado, convidado-desproporcional","Homem da dupla cortado na borda direita, só metade do rosto visível | Dupla bem menor que o casal, cabeças muito abaixo da altura das cabeças do casal",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e280.png
#273,Anima Podcast,Rosa Maria e Pe. Alan,media,"convidado-cortado, convidado-desproporcional","Pe. Alan cortado na borda direita, só parte do rosto visível | Dupla bem menor que o casal, cabeças muito abaixo da altura das cabeças do casal",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e273.png
#272,Anima Podcast,Tatiana Sampaio e Bruno Cortes,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Bruno cortado na borda direita, só metade do rosto visível | Dupla menor que o casal, cabeças abaixo da altura das cabeças do casal | Nome quebrado em duas linhas ('CORTES' isolado) e a 1ª linha encosta no cabelo da convidada",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e272.png
#264,Anima Podcast,Simone Medeiros,media,texto-sobreposto,Título 'CASAMENTO CATÓLICO:' encosta no cabelo da convidada (dois-pontos tocando a foto),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e264.png
#261,Anima Podcast,Joel Gracioso,media,texto-sobreposto,Título 'SANTO AGOSTINHO' encosta no ombro esquerdo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e261.png
#259,Anima Podcast,Alvaro Siviero e Sérgio Resende,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Homem da direita (Sérgio) cortado na borda, só metade do rosto visível | Dupla bem menor que o casal, cabeças pequenas e baixas em relação ao casal | 'COM ALVARO SIVIERO E SÉRGIO' encosta no paletó do convidado; nome quebrado em duas linhas com 'RESENDE' isolado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e259.png
#258,Anima Podcast,Marcus e Yanna Varandas,media,"convidado-cortado, convidado-desproporcional, texto-sobreposto","Yanna cortada na borda direita, só metade do rosto visível | Dupla menor que o casal, cabeças bem abaixo da altura das cabeças do casal | 'COM MARCUS E YANNA VARANDAS' encosta no ombro do convidado",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e258.png
#255,Anima Podcast,Alexandra Bastos,media,texto-sobreposto,Linha 'COM ALEXANDRA BASTOS' encosta no ombro esquerdo da convidada (sem respiro entre texto e foto).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e255.png
#253,Anima Podcast,Pedrinho Salomão,media,"convidado-desproporcional, texto-sobreposto",'SEMPRE ANSIOSO' e 'COM PEDRINHO SALOMÃO' encostam no ombro esquerdo do convidado. | Convidado ligeiramente maior que o casal (topo da cabeça acima da cabeça do apresentador).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e253.png
#249,Anima Podcast,Pe. Francisco Amaral,media,texto-sobreposto,'COM PE. FRANCISCO AMARAL' encosta no ombro esquerdo do convidado.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e249.png
#248,Anima Podcast,Altamir Gomes,media,convidado-desproporcional,Cabeça do convidado visivelmente maior que a do casal; topo da cabeça bem acima do apresentador.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e248.png
#242,Anima Podcast,Kenya e Berthaldo,media,"convidado-cortado, convidado-desproporcional","Homem da dupla cortado na borda direita (lateral da cabeça e ombro fora do quadro). | Dupla pequena e posicionada baixa: cabeças na altura do peito do casal, deixando vazio acima.",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e242.png
#241,Anima Podcast,Céci Portugal e Filipe Santos,media,"convidado-cortado, convidado-desproporcional",Mulher da dupla cortada na borda direita (metade da cabeça fora do quadro). | Dupla menor que o casal e posicionada baixa (cabeças abaixo da altura das cabeças do casal).,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e241.png
#238,Anima Podcast,Pe. Fabio Vieira,media,convidado-desproporcional,Cabeça do convidado visivelmente maior que a do casal; foto ocupa quase toda a metade direita.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e238.png
#237,Anima Podcast,Pe. Jefferson Merighetti,media,texto-sobreposto,'COM PE. JEFFERSON MERIGHETTI' (linha longa) quase encosta no ombro esquerdo do convidado.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e237.png
#236,Anima Podcast,Martinho Rocha,media,"convidado-desproporcional, texto-sobreposto",'COM MARTINHO ROCHA' quase encosta no ombro esquerdo do convidado. | Cabeça do convidado um pouco maior que a do casal.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e236.png
#233,Anima Podcast,Yasmin Fleming,media,"composicao, texto-sobreposto",Título 'É AÍ QUE OS CASAMENTOS' (linha longa) encosta no cabelo do apresentador à esquerda e fica muito perto do cabelo da convidada à direita. | Título na imagem ('É AÍ QUE OS CASAMENTOS COMEÇAM A MORRER') diverge do título do JSON ('Quando o casamento comeca a morrer').,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e233.png
#229,Anima Podcast,Vera Tostes,media,convidado-desproporcional,"Convidada maior que o casal: cabeça mais alta e larga que a do apresentador, corpo ocupa toda a metade direita até a borda.",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e229.png
#215,Anima Podcast,Daniel Buttros,media,convidado-desproporcional,Cabeça do convidado visivelmente maior que a dos apresentadores (aprox. 25% maior),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e215.png
#210,Anima Podcast,Herrison Pontes e Jessica Dias,media,"convidado-cortado, convidado-desproporcional, texto-desalinhado, texto-sobreposto",'COM HERRISON PONTES E JESSICA' avança até encostar/sobrepor o braço da convidada Jessica | Nome dos convidados quebrado em duas linhas com 'DIAS' sozinho na segunda linha | Dupla menor que o casal de apresentadores (cabeças com cerca de 2/3 do tamanho) | Herrison cortado no braço/ombro direito pela borda da imagem,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e210.png
#209,Anima Podcast,Bel Martins,media,"texto-desalinhado, texto-sobreposto",Linha 'INTERNET QUE AMEAÇA' quase encosta no cabelo da convidada | Título em 3 linhas com 'CRIANÇAS' sozinha; 'COM BEL MARTINS' fica colado no título,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e209.png
#208,Anima Podcast,João Blota,media,"convidado-desproporcional, texto-desalinhado",Quebra de linha ruim: título em 3 linhas com 'CRACK' isolado na linha do meio ('USAVA 40 PEDRAS DE / CRACK / POR DIA E SOBREVIVI') | Cabeça do convidado maior que a dos apresentadores (aprox. 20% maior),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e208.png
#203,Anima Podcast,Renato Villarinho,media,convidado-desproporcional,Cabeça do convidado maior que a dos apresentadores (aprox. 20% maior),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e203.png
#201,Anima Podcast,Dom Roberto Lopes,media,"convidado-desproporcional, texto-desalinhado","Título em 4 linhas ('MILAGRES AINDA / ACONTECEM? / COMO A IGREJA / INVESTIGA?'), empurrando 'COM DOM ROBERTO LOPES' para perto do badge | Cabeça do convidado um pouco maior que a dos apresentadores",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e201.png
#190,Anima Podcast,Pe. Cabecinhas e Marco Daniel,media,"convidado-desproporcional, texto-desalinhado","Dupla de convidados bem menor que o casal: cabeças com cerca de metade da altura das cabeças dos apresentadores, topo das cabeças só em y~350 | 'COM PE. CABECINHAS E MARCO DANIEL' quebrou em duas linhas com 'DANIEL' sozinho na segunda linha",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e190.png
#185,Anima Podcast,Wellington Perciliano,media,texto-sobreposto,Final de 'COM WELLINGTON PERCILIANO' encosta no ombro/camiseta branca do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e185.png
#181,Anima Podcast,Rafael Brito,media,"convidado-desproporcional, texto-sobreposto",Os dois-pontos de 'MELHORES MOMENTOS:' encostam no cabelo/rosto do convidado | Cabeça do convidado um pouco maior que a dos apresentadores e avançando para o centro,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e181.png
#179,Anima Podcast,Irmã Zélia,media,convidado-desproporcional,"Convidada bem maior que o casal: cabeça com véu ocupa de y~180 a ~600, cerca de 40% maior que as cabeças dos apresentadores, e o corpo avança até o centro perto do badge",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e179.png
#175,Anima Podcast,Raquel Carpenter,media,"convidado-desproporcional, texto-sobreposto",Título 'À PRAIA NO MESMO DIA' encosta no cabelo da convidada | Cabeça da convidada maior que a dos apresentadores (y~200 a ~600),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e175.png
#171,Anima Podcast,Camila e Felipe Oliveira,media,"convidado-cortado, texto-sobreposto","Camila (segunda pessoa da dupla) cortada na borda direita: só parte do rosto aparece, olho e lateral fora do quadro | 'COM CAMILA E FELIPE OLIVEIRA' termina encostando no ombro de Felipe",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e171.png
#169,Anima Podcast,João Cláudio Rufino,media,texto-sobreposto,O 'M' final de 'O QUE NÃO TE CONTARAM' invade o cabelo/óculos do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e169.png
#168,Anima Podcast,Brasil Paralelo,media,convidado-cortado,Segundo convidado da dupla cortado na borda direita: metade do rosto e do corpo fora do quadro,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e168.png
#164,Anima Podcast,Diogo e Vanessa,media,"convidado-cortado, convidado-desproporcional",Dupla bem menor que o casal (cabeças com ~60% do tamanho) e posicionada mais baixa | Homem da dupla cortado na lateral direita pela borda,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e164.png
#159,Anima Podcast,Amábile Koester,media,"convidado-desproporcional, texto-sobreposto",Enquadramento muito fechado: rosto da convidada bem maior que o do casal | Fim de 'PARA AS REDES DE PESCA' encosta no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e159.png
#157,Anima Podcast,Matheus Machado,media,texto-sobreposto,Fim de 'O QUE NÃO TE CONTARAM' encosta no cabelo do convidado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e157.png
#156,Anima Podcast,André e Karina Parreira,media,"composicao, convidado-cortado, convidado-desproporcional","Dupla pequena e muito baixa: cabeças na altura da linha 'COM ...', bem abaixo das do casal | Grande espaço vazio acima da dupla no lado direito | Mulher da dupla cortada na lateral direita pela borda",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e156.png
#155,Anima Podcast,Aline Brasil,media,"convidado-desproporcional, texto-sobreposto",Rosto da convidada bem maior que o do casal (enquadramento fechado) | Fim de 'MOVE MULTIDÕES' encosta no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e155.png
#151,Anima Podcast,Rafa e Alex Brasileiro,media,"convidado-cortado, convidado-desproporcional",Dupla menor que o casal (cabeças ~70% do tamanho) e posicionada mais baixa | Mulher da dupla cortada na lateral direita pela borda,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e151.png
#148,Anima Podcast,Ju Gava,media,convidado-desproporcional,Enquadramento muito fechado: rosto da convidada bem maior que o do casal,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e148.png
#145,Anima Podcast,Maria Dulce Arruda,media,"convidado-desproporcional, texto-sobreposto",Rosto da convidada bem maior que o do casal (enquadramento fechado) | 'COM MARIA DULCE ARRUDA' encosta no ombro/cabelo da convidada; título 'TRÁS' muito próximo do cabelo,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e145.png
#143,Anima Podcast,Ana Manente,media,convidado-desproporcional,Rosto da convidada maior que o do casal (enquadramento fechado),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e143.png
#137,Anima Podcast,Sidney Silveira,media,"convidado-desproporcional, texto-sobreposto",Fim de 'SANTO TOMÁS DE AQUINO' encosta no cabelo/rosto do convidado | Rosto do convidado um pouco maior que o do casal (enquadramento fechado),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e137.png
#134,Anima Podcast,Arte Piedosa,media,"composicao, convidado-cortado, convidado-desproporcional","Dupla muito menor que o casal: cabeças dos convidados começam só na altura do título (~y400) e têm cerca de 2/3 do tamanho das cabeças do casal | Homem da direita da dupla cortado pela borda direita da imagem (lateral da cabeça e ombro fora do quadro) | Grande espaço vazio acima da dupla, entre o topo da moldura e as cabeças",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e134.png
#125,Anima Podcast,Rafael Brito,media,texto-sobreposto,Primeira linha do título 'O ANJO NOS ABANDONA' encosta no cabelo/testa do convidado (último 'A' toca a foto),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e125.png
#122,Anima Podcast,Bruna Gutstein,media,"texto-desalinhado, texto-sobreposto",Segunda linha do título 'QUE FOI UM PLANO DE' encosta no cabelo da convidada | Título em 3 linhas com 'DEUS' isolado na última; 'COM BRUNA GUTSTEIN' fica colado ao título,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e122.png
#120,Anima Podcast,Eduardo Badu,media,texto-sobreposto,Primeira linha do título 'DE FUNKEIRO BRIGUENTO' encosta na cabeça do convidado (letra 'O' toca a foto),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e120.png
#116,Anima Podcast,Padre Rodrigo Vieira,media,texto-sobreposto,Primeira linha do título 'JESUS ME CHAMOU NUMA' sobrepõe o cabelo do convidado (letra 'A' entra na foto),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e116.png
#112,Anima Podcast,Samia Marsili,media,texto-sobreposto,Primeira linha do título 'SEXUALIDADE E NAMORO' encosta no cabelo da convidada,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e112.png
#99,Anima Podcast,Fernando Goslin,media,convidado-desproporcional,Cabeça do convidado visivelmente maior que a do casal (cerca de 30% mais alta); foto ampliada demais,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e99.png
#96,Anima Podcast,Casal Plástica,media,texto-faltando,"Nome do convidado é um placeholder genérico ('COM CASAL PLÁSTICA') em vez do nome real; a foto mostra apenas uma mulher, não um casal",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e96.png
#82,Anima Podcast,Gleison Guimarães,media,"convidado-desproporcional, convidado-qualidade",Cabeça do convidado claramente maior que a do casal (cerca de 40% mais alta); foto ampliada demais | Serrilhado leve no recorte do ombro esquerdo do terno,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e82.png
#81,Anima Podcast,Gleison Guimarães,media,"convidado-desproporcional, convidado-qualidade",Cabeça do convidado claramente maior que a do casal (cerca de 40% mais alta); foto ampliada demais | Serrilhado leve no recorte do ombro esquerdo do terno,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e81.png
#79,Anima Podcast,Thiago Andrade,media,"convidado-desproporcional, convidado-qualidade",Cabeça do convidado visivelmente maior que a do casal (cerca de 30% mais alta); foto ampliada demais | Serrilhado leve no recorte do ombro esquerdo do terno,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e79.png
#76,Anima Podcast,João Malheiro,media,"convidado-desproporcional, texto-sobreposto",Final da linha 'CANSAÇO NÃO É DORMIR' encosta/invade o cabelo do convidado à direita | Cabeça do convidado maior que a dos apresentadores,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e76.png
